エリア,対象分類,date,visitors
千代田区,住人,2020-02-01,54900
千代田区,住人,2020-02-02,54900
千代田区,住人,2020-02-03,54900
千代田区,住人,2020-02-04,54900
千代田区,住人,2020-02-05,54900
千代田区,住人,2020-02-06,54900
千代田区,住人,2020-02-07,54900
千代田区,住人,2020-02-08,54900
千代田区,住人,2020-02-09,54900
千代田区,住人,2020-02-10,54900
千代田区,住人,2020-02-11,54900
千代田区,住人,2020-02-12,54900
千代田区,住人,2020-02-13,54900
千代田区,住人,2020-02-14,54900
千代田区,住人,2020-02-15,54900
千代田区,住人,2020-02-16,54900
千代田区,住人,2020-02-17,54900
千代田区,住人,2020-02-18,54900
千代田区,住人,2020-02-19,54900
千代田区,住人,2020-02-20,54900
千代田区,住人,2020-02-21,54900
千代田区,住人,2020-02-22,54900
千代田区,住人,2020-02-23,54900
千代田区,住人,2020-02-24,54900
千代田区,住人,2020-02-25,54900
千代田区,住人,2020-02-26,54900
千代田区,住人,2020-02-27,54900
千代田区,住人,2020-02-28,54900
千代田区,住人,2020-02-29,54900
千代田区,来訪者,2020-02-01,400000
千代田区,来訪者,2020-02-02,302000
千代田区,来訪者,2020-02-03,974000
千代田区,来訪者,2020-02-04,985000
千代田区,来訪者,2020-02-05,977000
千代田区,来訪者,2020-02-06,989000
千代田区,来訪者,2020-02-07,987000
千代田区,来訪者,2020-02-08,399000
千代田区,来訪者,2020-02-09,302000
千代田区,来訪者,2020-02-10,904000
千代田区,来訪者,2020-02-11,345000
千代田区,来訪者,2020-02-12,980000
千代田区,来訪者,2020-02-13,987000
千代田区,来訪者,2020-02-14,995000
千代田区,来訪者,2020-02-15,404000
千代田区,来訪者,2020-02-16,282000
千代田区,来訪者,2020-02-17,969000
千代田区,来訪者,2020-02-18,970000
千代田区,来訪者,2020-02-19,960000
千代田区,来訪者,2020-02-20,970000
千代田区,来訪者,2020-02-21,968000
千代田区,来訪者,2020-02-22,379000
千代田区,来訪者,2020-02-23,291000
千代田区,来訪者,2020-02-24,299000
千代田区,来訪者,2020-02-25,957000
千代田区,来訪者,2020-02-26,949000
千代田区,来訪者,2020-02-27,937000
千代田区,来訪者,2020-02-28,932000
千代田区,来訪者,2020-02-29,329000
中央区,住人,2020-02-01,151000
中央区,住人,2020-02-02,151000
中央区,住人,2020-02-03,151000
中央区,住人,2020-02-04,151000
中央区,住人,2020-02-05,151000
中央区,住人,2020-02-06,151000
中央区,住人,2020-02-07,151000
中央区,住人,2020-02-08,151000
中央区,住人,2020-02-09,151000
中央区,住人,2020-02-10,151000
中央区,住人,2020-02-11,151000
中央区,住人,2020-02-12,151000
中央区,住人,2020-02-13,151000
中央区,住人,2020-02-14,151000
中央区,住人,2020-02-15,151000
中央区,住人,2020-02-16,151000
中央区,住人,2020-02-17,151000
中央区,住人,2020-02-18,151000
中央区,住人,2020-02-19,151000
中央区,住人,2020-02-20,151000
中央区,住人,2020-02-21,151000
中央区,住人,2020-02-22,151000
中央区,住人,2020-02-23,151000
中央区,住人,2020-02-24,151000
中央区,住人,2020-02-25,151000
中央区,住人,2020-02-26,151000
中央区,住人,2020-02-27,151000
中央区,住人,2020-02-28,151000
中央区,住人,2020-02-29,151000
中央区,来訪者,2020-02-01,290000
中央区,来訪者,2020-02-02,216000
中央区,来訪者,2020-02-03,698000
中央区,来訪者,2020-02-04,706000
中央区,来訪者,2020-02-05,701000
中央区,来訪者,2020-02-06,710000
中央区,来訪者,2020-02-07,712000
中央区,来訪者,2020-02-08,289000
中央区,来訪者,2020-02-09,219000
中央区,来訪者,2020-02-10,642000
中央区,来訪者,2020-02-11,243000
中央区,来訪者,2020-02-12,702000
中央区,来訪者,2020-02-13,712000
中央区,来訪者,2020-02-14,717000
中央区,来訪者,2020-02-15,293000
中央区,来訪者,2020-02-16,205000
中央区,来訪者,2020-02-17,697000
中央区,来訪者,2020-02-18,698000
中央区,来訪者,2020-02-19,687000
中央区,来訪者,2020-02-20,696000
中央区,来訪者,2020-02-21,698000
