date,prefecture,area,visitors_relative,is_holiday,was_holiday
2020-01-01,北海道,北海道全域,86,TRUE,FALSE
2020-01-01,北海道,札幌市,89,TRUE,FALSE
2020-01-01,北海道,札幌市中央区,96,TRUE,FALSE
2020-01-02,北海道,北海道全域,105,FALSE,FALSE
2020-01-02,北海道,札幌市,108,FALSE,FALSE
2020-01-02,北海道,札幌市中央区,106,FALSE,FALSE
2020-01-03,北海道,北海道全域,98,FALSE,FALSE
2020-01-03,北海道,札幌市,92,FALSE,FALSE
2020-01-03,北海道,札幌市中央区,102,FALSE,FALSE
2020-01-04,北海道,北海道全域,106,TRUE,TRUE
2020-01-04,北海道,札幌市,103,TRUE,TRUE
2020-01-04,北海道,札幌市中央区,107,TRUE,TRUE
2020-01-05,北海道,北海道全域,100,TRUE,TRUE
2020-01-05,北海道,札幌市,98,TRUE,TRUE
2020-01-05,北海道,札幌市中央区,93,TRUE,TRUE
2020-01-06,北海道,北海道全域,99,FALSE,FALSE
2020-01-06,北海道,札幌市,98,FALSE,FALSE
2020-01-06,北海道,札幌市中央区,94,FALSE,FALSE
2020-01-07,北海道,北海道全域,99,FALSE,FALSE
2020-01-07,北海道,札幌市,98,FALSE,FALSE
2020-01-07,北海道,札幌市中央区,95,FALSE,FALSE
2020-01-08,北海道,北海道全域,98,FALSE,FALSE
2020-01-08,北海道,札幌市,98,FALSE,FALSE
2020-01-08,北海道,札幌市中央区,90,FALSE,FALSE
2020-01-09,北海道,北海道全域,97,FALSE,FALSE
2020-01-09,北海道,札幌市,97,FALSE,FALSE
2020-01-09,北海道,札幌市中央区,92,FALSE,FALSE
2020-01-10,北海道,北海道全域,101,FALSE,FALSE
2020-01-10,北海道,札幌市,102,FALSE,FALSE
2020-01-10,北海道,札幌市中央区,99,FALSE,FALSE
2020-01-11,北海道,北海道全域,100,TRUE,TRUE
2020-01-11,北海道,札幌市,102,TRUE,TRUE
2020-01-11,北海道,札幌市中央区,97,TRUE,TRUE
2020-01-12,北海道,北海道全域,100,TRUE,TRUE
2020-01-12,北海道,札幌市,99,TRUE,TRUE
2020-01-12,北海道,札幌市中央区,95,TRUE,TRUE
2020-01-13,北海道,北海道全域,101,TRUE,TRUE
2020-01-13,北海道,札幌市,100,TRUE,TRUE
2020-01-13,北海道,札幌市中央区,97,TRUE,TRUE
2020-01-14,北海道,北海道全域,99,FALSE,FALSE
2020-01-14,北海道,札幌市,98,FALSE,FALSE
2020-01-14,北海道,札幌市中央区,96,FALSE,FALSE
2020-01-15,北海道,北海道全域,102,FALSE,FALSE
2020-01-15,北海道,札幌市,100,FALSE,FALSE
2020-01-15,北海道,札幌市中央区,96,FALSE,FALSE
2020-01-16,北海道,北海道全域,103,FALSE,FALSE
2020-01-16,北海道,札幌市,101,FALSE,FALSE
2020-01-16,北海道,札幌市中央区,103,FALSE,FALSE
2020-01-17,北海道,北海道全域,103,FALSE,FALSE
2020-01-17,北海道,札幌市,103,FALSE,FALSE
2020-01-17,北海道,札幌市中央区,98,FALSE,FALSE
2020-01-18,北海道,北海道全域,101,TRUE,TRUE
2020-01-18,北海道,札幌市,100,TRUE,TRUE
2020-01-18,北海道,札幌市中央区,99,TRUE,TRUE
2020-01-19,北海道,北海道全域,102,TRUE,TRUE
2020-01-19,北海道,札幌市,101,TRUE,TRUE
2020-01-19,北海道,札幌市中央区,101,TRUE,TRUE
2020-01-20,北海道,北海道全域,100,FALSE,FALSE
2020-01-20,北海道,札幌市,100,FALSE,FALSE
2020-01-20,北海道,札幌市中央区,94,FALSE,FALSE
2020-01-21,北海道,北海道全域,97,FALSE,FALSE
2020-01-21,北海道,札幌市,97,FALSE,FALSE
2020-01-21,北海道,札幌市中央区,95,FALSE,FALSE
2020-01-22,北海道,北海道全域,100,FALSE,FALSE
2020-01-22,北海道,札幌市,99,FALSE,FALSE
2020-01-22,北海道,札幌市中央区,96,FALSE,FALSE
2020-01-23,北海道,北海道全域,104,FALSE,FALSE
2020-01-23,北海道,札幌市,100,FALSE,FALSE
2020-01-23,北海道,札幌市中央区,96,FALSE,FALSE
2020-01-24,北海道,北海道全域,99,FALSE,FALSE
2020-01-24,北海道,札幌市,99,FALSE,FALSE
2020-01-24,北海道,札幌市中央区,95,FALSE,FALSE
2020-01-25,北海道,北海道全域,98,TRUE,TRUE
2020-01-25,北海道,札幌市,97,TRUE,TRUE
2020-01-25,北海道,札幌市中央区,96,TRUE,TRUE
2020-01-26,北海道,北海道全域,98,TRUE,TRUE
2020-01-26,北海道,札幌市,96,TRUE,TRUE
2020-01-26,北海道,札幌市中央区,95,TRUE,TRUE
2020-01-27,北海道,北海道全域,101,FALSE,FALSE
2020-01-27,北海道,札幌市,100,FALSE,FALSE
2020-01-27,北海道,札幌市中央区,98,FALSE,FALSE
2020-01-28,北海道,北海道全域,100,FALSE,FALSE
2020-01-28,北海道,札幌市,99,FALSE,FALSE
2020-01-28,北海道,札幌市中央区,97,FALSE,FALSE
2020-01-29,北海道,北海道全域,97,FALSE,FALSE
2020-01-29,北海道,札幌市,97,FALSE,FALSE
2020-01-29,北海道,札幌市中央区,97,FALSE,FALSE
2020-01-30,北海道,北海道全域,96,FALSE,FALSE
2020-01-30,北海道,札幌市,98,FALSE,FALSE
2020-01-30,北海道,札幌市中央区,99,FALSE,FALSE
2020-01-31,北海道,北海道全域,100,FALSE,FALSE
2020-01-31,北海道,札幌市,100,FALSE,FALSE
2020-01-31,北海道,札幌市中央区,100,FALSE,FALSE
2020-02-01,北海道,北海道全域,102,TRUE,TRUE
2020-02-01,北海道,札幌市,101,TRUE,TRUE
2020-02-01,北海道,札幌市中央区,100,TRUE,TRUE
2020-02-02,北海道,北海道全域,96,TRUE,TRUE
2020-02-02,北海道,札幌市,94,TRUE,TRUE
2020-02-02,北海道,札幌市中央区,93,TRUE,TRUE
2020-02-03,北海道,北海道全域,101,FALSE,FALSE
2020-02-03,北海道,札幌市,99,FALSE,FALSE
2020-02-03,北海道,札幌市中央区,96,FALSE,FALSE
2020-02-04,北海道,北海道全域,97,FALSE,FALSE
2020-02-04,北海道,札幌市,97,FALSE,FALSE
2020-02-04,北海道,札幌市中央区,97,FALSE,FALSE
